Batch,Model,Timestamp,Notebook,NumRows,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-Lsum,BERTScore-P,BERTScore-R,BERTScore-F1,BLEURT,Agg-Score
6S2KQ,gpt-4-1106-preview,2023-12-03 08:19:35,20231202_MediQA_Step_82_SectionText_BioBart+SBert+GPT-4_V3.10,200.0,0.3778296727279147,0.1716780831896261,0.3083916712473152,0.3213494891520493,0.8954255881905556,0.902156467437744,0.8985171118378639,0.5549885649979115,0.4622810208001263
8W0OQ,gpt-4-1106-preview,2023-12-03 08:03:06,20231202_MediQA_Step_82_SectionText_BioBart+SBert+GPT-4_V3.00,200.0,0.3786840179887156,0.1727761222485766,0.3070565640866761,0.3193511640879681,0.8962409555912018,0.9031565561890602,0.8993969541788102,0.5619768631458283,0.4639781043297213
397H3,gpt-4-1106-preview,2023-12-03 07:38:32,20231202_MediQA_Step_82_SectionText_BioBart+SBert+GPT-4_V2.90,200.0,0.3810417341996445,0.1727027428798278,0.3046424480689925,0.3178357741435766,0.8956437459588051,0.9020832154154778,0.898557750582695,0.5601275485754013,0.4634144448613122
MRLY4,gpt-3.5-turbo-1106,2023-12-03 06:47:40,,200.0,0.3559821197178581,0.1703403609060809,0.2949440234254732,0.3049377810096856,0.8978142520785332,0.8988804912567139,0.897942501604557,0.5579084093123674,0.4554234829932673
VP0I0,gpt-3.5-turbo-1106,2023-12-03 06:30:33,,200.0,0.3720305798475957,0.1688026920191098,0.3095006362061419,0.3211690478420791,0.8993854114413261,0.8995924571156502,0.8991119474172592,0.5611116679012775,0.4621115046782769
NYY9C,gpt-3.5-turbo-1106,2023-12-03 02:27:17,,200.0,0.3461572115893733,0.1514121837791841,0.2837561471680846,0.2956248465667369,0.8925672903656959,0.8953277304768562,0.8935286739468574,0.5479324149340391,0.4445573262835077
DBGJZ,gpt-3.5-turbo-1106,2023-12-03 02:23:45,,5.0,0.5073487677371172,0.3389481805323389,0.5034652725914862,0.5073487677371172,0.9207892775535584,0.9190467834472656,0.9196200847625732,0.5752521932125092,0.568926899767205
B71H5,gpt-3.5-turbo-1106,2023-12-03 02:00:55,,200.0,0.3555182416324552,0.1648333570646724,0.2891748092740218,0.2996959075581669,0.892954705953598,0.8968104445934295,0.8944557976722717,0.551806124150753,0.4511576659588348
YJ4LF,pgt-3.5-turbo-1106,2023-12-03 01:58:49,,5.0,0.4836040654463324,0.3108768847899282,0.4717228773275205,0.4756832733671244,0.9176435708999634,0.9184659838676452,0.9177295804023744,0.5789142370223999,0.5525695289977112
BW6GL,gpt-4-1106-preview,2023-12-03 01:14:53,,200.0,0.361333697153296,0.1577171971753099,0.2879669425135742,0.3009167410549208,0.890390382707119,0.9003690448403359,0.8950049489736557,0.5657020325213671,0.4535449636674405
CYHM3,gpt-4-1106-preview,2023-12-03 01:13:12,,2.0,0.6161035226455787,0.4727272727272726,0.5880661394680086,0.5974119338605319,0.9458989500999452,0.938719928264618,0.9422819018363952,0.6671594381332397,0.657267654962099
J5UDD,gpt-4-1106-preview,2023-12-03 01:07:23,,5.0,0.5147202905823596,0.3447070089271924,0.5003058761679451,0.5039094797715487,0.9283444046974182,0.9242379426956177,0.926056444644928,0.5910330563783646,0.5753645353401579
2Z4ZG,gpt-4-1106-preview,2023-12-02 23:54:50,,200.0,0.3523795726116049,0.1509646471016097,0.280380254197783,,0.8868704849481582,0.8996596485376358,0.8928801608085633,0.5602477908879518,0.4473704851215025
647SC,gpt-4-1106-preview,2023-12-02 23:52:09,,10.0,0.4394916686630513,0.2360462059219822,0.3961323063847295,,0.9107434511184692,0.9114621400833128,0.9109143674373626,0.6122742936015129,0.5189717684017278
8CS20,gpt-4-1106-preview,2023-12-02 23:35:23,,5.0,0.5345632058625727,0.3786236751753993,0.5196099348345353,,0.9186760306358336,0.9254112839698792,0.9219336867332458,0.5366231232881546,0.5782707251787815
9EVQ3,gpt-4-1106-preview,2023-12-02 22:39:25,,,0.3711942680295714,0.1654058540557641,0.3034906686287292,,0.8915355654075893,0.9005129665437371,0.8956797938756268,0.558112065749939,0.4587765300679261
CHQ2P,gpt-4-1106-preview,2023-12-02 22:34:25,,,0.4798285306025244,0.2817329644428378,0.427737424254452,,0.9090282142162324,0.9155360460281372,0.9120913803577424,0.6099366620182991,0.5422653923351711
A2PND,gpt-4-1106-preview,2023-12-02 21:49:15,,,0.4685580179115369,0.2656850567078288,0.428610301624667,,0.9140472173690796,0.9137202501296996,0.9136840164661408,0.6182580918073655,0.5389590969035079
8G0F5,gpt-4-1106-preview,2023-12-02 21:38:06,,,0.5020839005266147,0.3328553292487718,0.4988580940750017,,0.9191842198371888,0.9304734468460084,0.9247359037399292,0.5788089156150817,0.5674684286410798
UZACP,gpt-4-1106-preview,2023-12-02 11:10:52,,,0.371164756925024,0.1642996198031573,0.2974692266328989,,0.8916039726138115,0.8999691087007523,0.8954389947652817,0.5604841947555542,0.4577713585763832
Y1YLF,gpt-4-1106-preview,2023-12-02 10:59:47,,,0.4288088611157584,0.1992349960505688,0.3510788611128618,,0.3892349447434147,0.4549002856016159,0.4204893013462424,0.6024512425065041,0.4004126524263871
OK3CI,gpt-4-1106-preview,2023-12-02 10:25:08,,,0.3859107349808912,0.1983547267914136,0.3264274327949544,,0.378193615602504,0.4698171695073446,0.4226675351460774,0.5823195308446885,0.383135992111605
9Q58M,gpt-4-1106-preview,2023-12-02 08:33:04,,,0.3647264439810264,0.1597697080704143,0.2932785986398484,,0.359445786033757,0.4094410805613734,0.3832123914395924,0.5550616199523211,0.3512097524166405
