Time,Model,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-L Sum,BERTScore Precision,BERTScore Recall,BERTScore F1,Average BLEURT,Aggregated Score
2023-11-30 08:00:22,20231129_Bart-Lg-samsum_8ep_Summ_Loss_1.0_R1_0.52,0.387571438849273,0.205123331833837,0.3340650741890536,0.3340650741890536,0.3705746248364449,0.3425908669829368,0.3550126664340496,0.4819024359062314,0.3496233369002497
2023-11-30 07:13:04,20231129_Bart-Lg-samsum_8ep_Summ_Loss_1.0_R1_0.52,0.5145582822324898,0.3470424688713781,0.4741749342192717,0.4741749342192717,0.5353657603263855,0.5270876288414001,0.5293538570404053,0.6063125296072527,0.4909361676983448
2023-11-30 07:08:39,20231129_Bart-Lg-samsum_8ep_Summ_Loss_1.0_R1_0.52,0.5145582822324898,0.3470424688713781,0.4741749342192717,0.4741749342192717,0.5353657603263855,0.5270876288414001,0.5293538570404053,0.6063125296072527,0.4909361676983448
2023-11-30 06:14:21,20231129_Bart-Lg-samsum_8ep_Summ_Loss_1.0_R1_0.52,0.5145582822324898,0.3470424688713781,0.4741749342192717,0.4741749342192717,0.5353657603263855,0.5270876288414001,0.5293538570404053,0.6063125296072527,0.4909361676983448
2023-11-30 06:11:32,20231129_Bart-Lg-samsum_8ep_Summ_Loss_1.0_R1_0.52,0.5116931228014179,0.3463036777838323,0.4746788473942852,0.4746788473942852,0.5185768604278564,0.5115081071853638,0.5129343867301941,0.5887171506881714,0.4848343387986977
2023-11-30 06:11:32,20231129_Bart-Lg-samsum_8ep_Summ_Loss_1.0_R1_0.52,0.5116931228014179,0.3463036777838323,0.4746788473942852,0.4746788473942852,0.5185768604278564,0.5115081071853638,0.5129343867301941,0.5887171506881714,0.4848343387986977
2023-11-30 05:29:41,20231129_Bart-Lg-samsum_8ep_Summ_Loss_1.0_R1_0.52,0.5116931228014179,0.3463036777838323,0.4746788473942852,0.4746788473942852,0.5185768604278564,0.5115081071853638,0.5129343867301941,0.5887171506881714,0.4848343387986977
2023-11-30 05:29:41,20231129_Bart-Lg-samsum_8ep_Summ_Loss_1.0_R1_0.52,0.5116931228014179,0.3463036777838323,0.4746788473942852,0.4746788473942852,0.5185768604278564,0.5115081071853638,0.5129343867301941,0.5887171506881714,0.4848343387986977
2023-11-30 05:29:41,20231129_Bart-Lg-samsum_8ep_Summ_Loss_1.0_R1_0.52,0.5116931228014179,0.3463036777838323,0.4746788473942852,0.4746788473942852,0.5185768604278564,0.5115081071853638,0.5129343867301941,0.5887171506881714,0.4848343387986977
2023-11-30 05:29:41,20231129_Bart-Lg-samsum_8ep_Summ_Loss_1.0_R1_0.52,0.5116931228014179,0.3463036777838323,0.4746788473942852,0.4746788473942852,0.5185768604278564,0.5115081071853638,0.5129343867301941,0.5887171506881714,0.4848343387986977
2023-11-30 06:06:19,20231129_Bart-Lg-samsum_8ep_Summ_Loss_1.0_R1_0.52,0.5116931228014179,0.3463036777838323,0.4746788473942852,0.4746788473942852,0.5185768604278564,0.5115081071853638,0.5129343867301941,0.5887171506881714,0.4848343387986977
